order_id,date,customer_id,product_category,product_name,quantity,unit_price,revenue,region,salesperson
ORD-000028,2025-08-15,C-00705,Electronics,4K Monitor,4,288.54,1154.16,North,Frank Davis
ORD-000029,2024-07-16,C-00426,Clothing,Running Shoes,2,62.18,124.36,South,James Wilson
ORD-000030,2025-04-11,C-00772,Books & Media,Board Game,1,45.51,45.51,East,Alice Chen
ORD-000031,2024-10-08,C-00704,Home & Garden,Yoga Mat,1,21.59,21.59,North,Frank Davis
ORD-000032,2023-01-21,C-00591,Office Supplies,Ballpoint Pen Pack,1,6.31,6.31,West,Bob Martinez
ORD-000033,2025-04-20,C-00691,Home & Garden,Scented Candle Pack,2,20.41,40.82,West,Eva Thompson
ORD-000034,2023-06-16,C-00091,Office Supplies,Ergonomic Office Chair,1,288.36,288.36,West,Eva Thompson
ORD-000035,2024-01-23,C-00456,Office Supplies,Filing Cabinet,1,85.0,85.0,West,Eva Thompson
ORD-000036,2024-08-23,C-00444,Home & Garden,Stainless Steel Cookware Set,2,131.0,262.0,East,Alice Chen
ORD-000037,2023-11-12,C-00727,Home & Garden,Coffee Maker,1,69.89,69.89,South,Irene Okafor
ORD-000038,2023-01-14,C-00079,Office Supplies,Filing Cabinet,5,101.58,507.9,North,Carol Williams
ORD-000039,2023-08-30,C-00475,Clothing,Denim Jeans,2,34.35,68.7,West,Bob Martinez
ORD-000040,2025-02-15,C-00103,Office Supplies,Whiteboard,1,42.58,42.58,West,Bob Martinez
ORD-000041,2024-07-18,C-00623,Sports & Outdoors,Dumbbell Set,1,46.27,46.27,West,Henry Foster
ORD-000042,2025-06-16,C-00456,Sports & Outdoors,Water Bottle,1,14.69,14.69,West,Eva Thompson
ORD-000043,2023-04-02,C-00314,Electronics,USB-C Charging Cable,3,12.96,38.88,West,Eva Thompson
ORD-000044,2025-08-13,C-00247,Books & Media,Educational DVD Set,1,21.92,21.92,West,Henry Foster
ORD-000045,2024-05-23,C-00234,Clothing,Cotton T-Shirt,1,18.99,18.99,East,Grace Liu
ORD-000046,2025-02-14,C-00594,Books & Media,Paperback Novel,3,11.59,34.77,East,Grace Liu
ORD-000047,2023-02-04,C-00644,Home & Garden,Scented Candle Pack,2,14.71,29.42,West,Bob Martinez
ORD-000048,2023-07-25,C-00235,Clothing,Running Shoes,4,124.53,498.12,South,James Wilson
ORD-000049,2025-10-22,C-00790,Office Supplies,Whiteboard,4,38.66,154.64,East,Grace Liu
ORD-000050,2025-10-18,C-00387,Books & Media,Art Supply Kit,1,36.72,36.72,East,Alice Chen
ORD-000051,2024-07-19,C-00611,Office Supplies,Whiteboard,1,46.94,46.94,East,David Kim
ORD-000052,2024-12-03,C-00038,Clothing,Wool Sweater,2,89.36,178.72,South,Irene Okafor
ORD-000053,2024-02-06,C-00161,Sports & Outdoors,Fishing Rod,1,55.47,55.47,South,James Wilson
ORD-000054,2024-12-30,C-00462,Sports & Outdoors,Fishing Rod,3,75.91,227.73,North,Carol Williams
ORD-000055,2023-06-11,C-00449,Sports & Outdoors,Hiking Backpack,1,96.94,96.94,South,Irene Okafor
ORD-000056,2023-07-21,C-00117,Electronics,Wireless Headphones,4,61.12,244.48,West,Henry Foster
ORD-000057,2025-09-22,C-00241,Clothing,Baseball Cap,5,12.69,63.45,South,Irene Okafor
ORD-000058,2023-09-27,C-00026,Office Supplies,Printer Paper (Ream),12,6.63,79.56,West,Henry Foster
ORD-000059,2025-03-26,C-00648,Home & Garden,Yoga Mat,1,36.36,36.36,East,Grace Liu
ORD-000060,2024-03-31,C-00562,Office Supplies,Ballpoint Pen Pack,2,6.35,12.7,North,Frank Davis
ORD-000061,2025-10-13,C-00298,Electronics,Wireless Mouse,5,37.85,189.25,West,Bob Martinez
ORD-000062,2023-10-23,C-00154,Office Supplies,Whiteboard,2,35.96,71.92,North,Frank Davis
ORD-000063,2024-12-20,C-00732,Sports & Outdoors,Camping Tent,1,155.2,155.2,West,Eva Thompson
ORD-000064,2023-12-04,C-00652,Books & Media,Cookbook,1,31.64,31.64,North,Frank Davis
ORD-000065,2025-05-28,C-00468,Clothing,Baseball Cap,2,20.41,40.82,East,David Kim
ORD-000066,2025-12-12,C-00049,Office Supplies,Ballpoint Pen Pack,1,7.4,7.4,East,Alice Chen
ORD-000067,2025-03-02,C-00654,Home & Garden,LED Desk Lamp,2,21.34,42.68,South,Irene Okafor
ORD-000068,2023-08-05,C-00046,Sports & Outdoors,Hiking Backpack,1,99.39,99.39,South,Irene Okafor
ORD-000069,2025-02-02,C-00675,Electronics,Wireless Mouse,3,36.75,110.25,South,James Wilson
ORD-000070,2023-07-07,C-00285,Sports & Outdoors,Water Bottle,2,14.46,28.92,North,Carol Williams
ORD-000071,2024-01-15,C-00780,Office Supplies,Ergonomic Office Chair,2,247.07,494.14,North,Carol Williams
ORD-000072,2024-05-07,C-00628,Electronics,Wireless Headphones,1,85.24,85.24,West,Eva Thompson
ORD-000073,2025-11-30,C-00082,Books & Media,Paperback Novel,3,10.38,31.14,East,Alice Chen
ORD-000074,2023-01-15,C-00044,Electronics,Smart Watch,2,230.02,460.04,East,Grace Liu
ORD-000075,2023-03-06,C-00706,Office Supplies,Ergonomic Office Chair,7,238.06,1666.42,West,Eva Thompson
ORD-000076,2024-06-04,C-00770,Office Supplies,Ballpoint Pen Pack,5,8.28,41.4,South,Irene Okafor
ORD-000077,2024-10-09,C-00273,Clothing,Winter Jacket,1,137.84,137.84,East,Alice Chen
ORD-000078,2025-12-22,C-00394,Electronics,4K Monitor,2,346.44,692.88,South,Irene Okafor
ORD-000079,2024-08-15,C-00786,Sports & Outdoors,Fishing Rod,3,79.88,239.64,West,Bob Martinez
ORD-000080,2024-01-27,C-00790,Electronics,Bluetooth Speaker,1,77.59,77.59,North,Frank Davis
ORD-000081,2024-02-23,C-00595,Home & Garden,Stainless Steel Cookware Set,1,76.45,76.45,East,Alice Chen
ORD-000082,2023-10-16,C-00058,Clothing,Wool Sweater,1,64.13,64.13,East,David Kim
ORD-000083,2024-01-14,C-00565,Home & Garden,Coffee Maker,2,93.8,187.6,South,James Wilson
ORD-000084,2023-08-19,C-00001,Electronics,4K Monitor,5,430.78,2153.9,East,Alice Chen
ORD-000085,2025-10-14,C-00216,Electronics,USB-C Charging Cable,1,,10.69,West,Henry Foster
ORD-000086,2023-02-10,C-00317,Electronics,Smart Watch,1,173.17,173.17,East,Grace Liu
ORD-000087,2025-11-17,C-00228,Sports & Outdoors,Fishing Rod,3,79.29,237.87,East,David Kim
ORD-000088,2023-05-15,C-00473,Home & Garden,Plant Pot Set,2,12.37,24.74,East,Alice Chen
ORD-000089,2023-07-20,C-00484,Clothing,Baseball Cap,1,21.37,21.37,North,Frank Davis
ORD-000090,2025-02-18,C-00766,Sports & Outdoors,Fishing Rod,3,43.85,131.55,West,Bob Martinez
ORD-000091,2025-07-18,C-00671,Office Supplies,Ballpoint Pen Pack,1,9.43,9.43,West,Eva Thompson
ORD-000092,2025-11-22,C-00287,Clothing,Denim Jeans,2,,78.0,East,Grace Liu
ORD-000093,2025-12-07,C-00511,Office Supplies,Filing Cabinet,2,62.19,124.38,South,James Wilson
ORD-000094,2024-05-17,C-00578,Sports & Outdoors,Dumbbell Set,2,44.87,89.74,North,Frank Davis
ORD-000095,2024-02-11,C-00458,Electronics,Wireless Headphones,3,50.14,150.42,East,Alice Chen
ORD-000096,2025-03-15,C-00095,Clothing,Denim Jeans,3,50.49,151.47,West,Eva Thompson
ORD-000097,2023-04-09,C-00493,Home & Garden,Scented Candle Pack,2,14.24,28.48,East,Grace Liu
ORD-000098,2024-11-14,C-00765,Books & Media,Board Game,1,39.56,39.56,North,Carol Williams
ORD-000099,2024-12-26,C-00150,Clothing,Wool Sweater,2,67.39,134.78,North,Carol Williams
ORD-000100,2025-08-18,C-00023,Office Supplies,Filing Cabinet,3,82.69,248.07,South,Irene Okafor
ORD-000101,2024-09-04,C-00756,Sports & Outdoors,Resistance Bands,4,19.73,78.92,East,Alice Chen
ORD-000102,2024-10-04,C-00215,Clothing,Baseball Cap,1,21.48,21.48,West,Henry Foster
ORD-000103,2025-10-25,C-00399,Electronics,Wireless Headphones,1,65.52,65.52,East,Alice Chen
ORD-000104,2024-05-17,C-00410,Electronics,Wireless Headphones,3,50.59,151.77,West,Eva Thompson
ORD-000105,2025-02-05,C-00131,Home & Garden,LED Desk Lamp,2,31.59,63.18,West,Bob Martinez
ORD-000106,2024-02-02,C-00148,Home & Garden,LED Desk Lamp,2,36.96,73.92,East,David Kim
ORD-000107,2025-05-20,C-00381,Books & Media,Educational DVD Set,1,21.17,21.17,North,Carol Williams
ORD-000108,2025-03-05,C-00109,Sports & Outdoors,Fishing Rod,2,78.84,157.68,West,Henry Foster
ORD-000109,2024-01-28,C-00552,Electronics,Portable Power Bank,3,30.06,90.18,South,James Wilson
ORD-000110,2023-07-26,C-00121,Sports & Outdoors,Camping Tent,2,130.97,261.94,East,Alice Chen
ORD-000111,2025-11-04,C-00295,Electronics,USB-C Charging Cable,5,12.25,61.25,South,Irene Okafor
ORD-000112,2025-06-10,C-00120,Clothing,Cotton T-Shirt,1,31.52,31.52,South,Irene Okafor
ORD-000113,2025-05-13,C-00456,Books & Media,Board Game,1,28.53,28.53,South,James Wilson
ORD-000114,2025-01-12,C-00530,Clothing,Winter Jacket,3,91.89,275.67,North,Frank Davis
ORD-000115,2024-07-17,C-00169,Office Supplies,Ergonomic Office Chair,3,260.34,781.02,South,James Wilson
ORD-000116,2025-10-17,C-00710,Office Supplies,Ballpoint Pen Pack,1,4.05,4.05,West,Bob Martinez
ORD-000117,2023-04-06,C-00143,Sports & Outdoors,Hiking Backpack,7,64.91,454.37,East,David Kim
ORD-000118,2024-04-29,C-00037,Electronics,Portable Power Bank,1,32.64,32.64,North,Carol Williams
ORD-000119,2023-08-19,C-00698,Clothing,Wool Sweater,2,83.13,166.26,North,Frank Davis
ORD-000120,2025-01-18,C-00261,Electronics,4K Monitor,9,328.74,2958.66,South,Irene Okafor
ORD-000121,2024-06-24,C-00231,Sports & Outdoors,Hiking Backpack,2,69.78,139.56,West,Eva Thompson
ORD-000122,2025-11-25,C-00254,Books & Media,Board Game,3,39.19,117.57,East,David Kim
ORD-000123,2024-06-08,C-00329,Sports & Outdoors,Dumbbell Set,2,78.5,157.0,North,Frank Davis
ORD-000124,2024-07-31,C-00297,Books & Media,Educational DVD Set,1,23.48,23.48,South,James Wilson
ORD-000125,2024-11-12,C-00010,Books & Media,Cookbook,11,27.15,298.65,East,Alice Chen
ORD-000126,2024-07-10,C-00446,Office Supplies,Filing Cabinet,1,80.11,80.11,West,Bob Martinez
ORD-000127,2025-10-09,C-00230,Clothing,Cotton T-Shirt,10,34.35,343.5,West,Eva Thompson
ORD-000128,2024-10-07,C-00536,Office Supplies,Ballpoint Pen Pack,2,7.76,15.52,East,David Kim
ORD-000129,2025-03-06,C-00078,Sports & Outdoors,Water Bottle,1,10.39,10.39,East,David Kim
ORD-000130,2025-11-17,C-00425,Clothing,Baseball Cap,1,19.53,19.53,West,Henry Foster
ORD-000131,2023-07-09,C-00193,Office Supplies,Whiteboard,3,49.5,148.5,South,Irene Okafor
ORD-000132,2024-09-24,C-00401,Office Supplies,Ballpoint Pen Pack,3,7.77,23.31,East,Alice Chen
ORD-000133,2024-09-19,C-00109,Home & Garden,Throw Blanket,5,45.19,225.95,West,Bob Martinez
ORD-000134,2025-08-30,C-00792,Office Supplies,Ballpoint Pen Pack,1,9.47,9.47,North,Carol Williams
ORD-000135,2024-12-10,C-00263,Clothing,Wool Sweater,2,67.94,135.88,South,Irene Okafor
ORD-000136,2024-10-10,C-00329,Home & Garden,Throw Blanket,9,33.13,298.17,South,Irene Okafor
ORD-000137,2023-11-14,C-00363,Electronics,Wireless Mouse,2,20.6,41.2,West,Eva Thompson
ORD-000138,2024-11-14,C-00378,Home & Garden,Stainless Steel Cookware Set,2,88.02,176.04,South,Irene Okafor
ORD-000139,2024-10-25,C-00780,Home & Garden,Scented Candle Pack,1,21.89,21.89,East,David Kim
ORD-000140,2024-03-17,C-00341,Electronics,USB-C Charging Cable,5,19.04,95.2,North,Carol Williams
ORD-000141,2024-07-17,C-00259,Sports & Outdoors,Water Bottle,2,29.8,59.6,North,Carol Williams
ORD-000142,2025-08-09,C-00335,Electronics,Wireless Mouse,3,34.06,102.18,East,Grace Liu
ORD-000143,2024-11-29,C-00085,Electronics,4K Monitor,1,266.86,266.86,West,Henry Foster
ORD-000144,2023-04-23,C-00522,Clothing,Baseball Cap,3,19.52,58.56,East,Grace Liu
ORD-000145,2023-01-02,C-00571,Home & Garden,Coffee Maker,6,40.34,242.04,South,Irene Okafor
ORD-000146,2024-10-03,C-00308,Clothing,Wool Sweater,4,45.15,180.6,West,Bob Martinez
ORD-000147,2023-08-08,C-00262,Clothing,Denim Jeans,1,67.35,67.35,North,Frank Davis
ORD-000148,2025-05-04,C-00797,Clothing,Denim Jeans,3,31.17,93.51,East,David Kim
ORD-000149,2024-01-20,C-00631,Electronics,4K Monitor,2,412.45,824.9,East,Alice Chen
ORD-000150,2025-12-12,C-00680,Home & Garden,Coffee Maker,1,49.11,49.11,South,James Wilson
ORD-000151,2024-12-30,C-00701,Office Supplies,Whiteboard,4,23.78,95.12,North,Frank Davis
ORD-000152,2023-09-04,C-00452,Clothing,Denim Jeans,4,44.92,179.68,South,James Wilson
ORD-000153,2025-04-15,C-00251,Sports & Outdoors,Camping Tent,3,127.2,381.6,West,Bob Martinez
ORD-000154,2023-07-22,C-00324,Electronics,Portable Power Bank,3,43.26,129.78,East,Alice Chen
ORD-000155,2023-05-03,C-00229,Clothing,Baseball Cap,1,19.67,19.67,West,Eva Thompson
ORD-000156,2024-02-05,C-00702,Clothing,Running Shoes,6,108.7,652.2,West,Bob Martinez
ORD-000157,2025-02-05,C-00636,Office Supplies,Printer Paper (Ream),3,11.32,33.96,East,Grace Liu
ORD-000158,2023-10-21,C-00596,Home & Garden,LED Desk Lamp,2,41.04,82.08,North,Carol Williams
ORD-000159,2023-10-07,C-00297,Sports & Outdoors,Water Bottle,1,29.0,29.0,West,Eva Thompson
ORD-000160,2025-06-02,C-00727,Sports & Outdoors,Water Bottle,3,21.43,64.29,East,Grace Liu
ORD-000161,2023-07-17,C-00237,Electronics,4K Monitor,1,353.59,353.59,West,Henry Foster
ORD-000162,2025-09-08,C-00625,Office Supplies,Filing Cabinet,1,97.48,97.48,West,Bob Martinez
ORD-000163,2025-01-21,C-00217,Clothing,Wool Sweater,2,41.3,82.6,North,Frank Davis
ORD-000164,2023-05-24,C-00246,Electronics,Smart Watch,3,283.29,849.87,West,Henry Foster
ORD-000165,2024-08-31,C-00448,Clothing,Denim Jeans,1,31.38,31.38,West,Eva Thompson
ORD-000166,2023-07-06,C-00319,Clothing,Wool Sweater,1,45.12,45.12,East,Grace Liu
ORD-000167,2024-04-08,C-00432,Electronics,4K Monitor,1,260.49,260.49,South,James Wilson
ORD-000168,2024-10-21,C-00404,Sports & Outdoors,Water Bottle,4,14.92,59.68,South,Irene Okafor
ORD-000169,2025-02-02,C-00037,Clothing,Running Shoes,2,103.45,206.9,North,Carol Williams
ORD-000170,2025-08-12,C-00576,Sports & Outdoors,Camping Tent,3,161.23,483.69,East,Alice Chen
ORD-000171,2024-02-07,C-00731,Electronics,Smart Watch,3,262.55,787.65,West,Bob Martinez
ORD-000172,2023-05-27,C-00342,Office Supplies,Ergonomic Office Chair,1,249.48,249.48,North,Carol Williams
ORD-000173,2025-05-13,C-00389,Electronics,4K Monitor,1,371.14,371.14,South,Irene Okafor
ORD-000174,2024-05-03,C-00034,Sports & Outdoors,Resistance Bands,3,12.44,37.32,South,Irene Okafor
ORD-000175,2025-07-17,C-00039,Sports & Outdoors,Dumbbell Set,3,54.46,163.38,South,Irene Okafor
ORD-000176,2024-07-04,C-00579,Electronics,Mechanical Keyboard,2,123.35,246.7,East,Alice Chen
ORD-000177,2023-12-04,C-00209,Electronics,Wireless Headphones,1,81.85,81.85,South,James Wilson
ORD-000178,2025-05-21,C-00152,Electronics,Wireless Mouse,2,29.31,58.62,North,Frank Davis
ORD-000179,2024-10-02,C-00365,Clothing,Denim Jeans,1,51.59,51.59,South,James Wilson
ORD-000180,2024-04-17,C-00199,Electronics,Mechanical Keyboard,3,80.6,241.8,West,Henry Foster
ORD-000181,2023-05-31,C-00601,Sports & Outdoors,Hiking Backpack,4,101.08,404.32,West,Henry Foster
ORD-000182,2023-09-20,C-00760,Home & Garden,Coffee Maker,2,87.94,175.88,West,Bob Martinez
ORD-000183,2023-05-24,C-00079,Home & Garden,Coffee Maker,2,53.99,107.98,East,David Kim
ORD-000184,2023-12-12,C-00477,Electronics,Wireless Headphones,1,54.45,54.45,West,Henry Foster
ORD-000185,2024-09-15,C-00434,Office Supplies,Printer Paper (Ream),1,6.99,6.99,South,Irene Okafor
ORD-000186,2025-10-13,C-00797,Electronics,Wireless Mouse,2,23.84,47.68,East,Alice Chen
ORD-000187,2025-05-30,C-00032,Clothing,Denim Jeans,3,35.9,107.7,East,David Kim
ORD-000188,2023-01-02,C-00087,Electronics,Mechanical Keyboard,3,106.32,318.96,East,David Kim
ORD-000189,2025-06-15,C-00551,Electronics,Bluetooth Speaker,2,46.57,93.14,West,Henry Foster
ORD-000190,2023-09-11,C-00393,Sports & Outdoors,Dumbbell Set,8,52.39,419.12,South,Irene Okafor
ORD-000191,2024-03-28,C-00613,Sports & Outdoors,Dumbbell Set,7,65.23,456.61,East,Grace Liu
ORD-000192,2025-11-26,C-00244,Sports & Outdoors,Fishing Rod,5,78.44,392.2,East,Alice Chen
ORD-000193,2025-10-11,C-00232,Home & Garden,Throw Blanket,2,34.95,69.9,South,James Wilson
ORD-000194,2023-01-09,C-00580,Office Supplies,Whiteboard,3,34.18,102.54,South,James Wilson
ORD-000195,2025-03-26,C-00192,Home & Garden,LED Desk Lamp,6,46.03,276.18,East,Grace Liu
ORD-000196,2023-07-27,C-00540,Home & Garden,Coffee Maker,3,83.3,249.9,North,Carol Williams
ORD-000197,2024-02-08,C-00270,Clothing,Denim Jeans,1,32.2,32.2,North,Carol Williams
ORD-000198,2023-06-01,C-00738,Electronics,Portable Power Bank,1,38.45,38.45,North,Carol Williams
ORD-000199,2023-02-23,C-00077,Home & Garden,Throw Blanket,8,47.79,382.32,West,Henry Foster
ORD-000200,2024-09-19,C-00735,Clothing,Wool Sweater,11,63.32,696.52,South,Irene Okafor
ORD-000201,2024-08-09,C-00167,Home & Garden,Yoga Mat,3,31.58,94.74,East,Grace Liu
ORD-000202,2023-04-14,C-00284,Electronics,Smart Watch,1,277.02,277.02,East,David Kim
ORD-000203,2023-09-11,C-00704,Office Supplies,Filing Cabinet,5,106.34,531.7,West,Bob Martinez
ORD-000204,2024-05-24,C-00089,Office Supplies,Ergonomic Office Chair,7,257.96,1805.72,West,Bob Martinez
ORD-000205,2023-04-09,C-00544,Clothing,Wool Sweater,2,63.03,126.06,South,Irene Okafor
ORD-000206,2023-06-02,C-00649,Office Supplies,Printer Paper (Ream),1,7.89,7.89,West,Bob Martinez
ORD-000207,2025-07-02,C-00156,Office Supplies,Ergonomic Office Chair,2,317.47,634.94,East,David Kim
ORD-000208,2025-05-27,C-00250,Office Supplies,Ballpoint Pen Pack,1,9.43,9.43,West,Bob Martinez
ORD-000209,2023-12-04,C-00095,Clothing,Running Shoes,2,98.35,196.7,West,Eva Thompson
ORD-000210,2025-04-01,C-00017,Books & Media,Board Game,2,28.06,56.12,South,James Wilson
ORD-000211,2025-08-14,C-00117,Clothing,Running Shoes,5,86.19,430.95,North,Carol Williams
ORD-000212,2023-06-10,C-00333,Sports & Outdoors,Camping Tent,1,118.48,118.48,North,Carol Williams
ORD-000213,2025-03-11,C-00522,Sports & Outdoors,Camping Tent,1,212.54,212.54,North,Carol Williams
ORD-000214,2024-02-02,C-00080,Books & Media,Educational DVD Set,3,32.46,97.38,North,Carol Williams
ORD-000215,2025-03-26,C-00646,Electronics,Bluetooth Speaker,1,55.35,,North,Carol Williams
ORD-000216,2024-02-05,C-00432,Office Supplies,Printer Paper (Ream),2,10.68,21.36,East,David Kim
ORD-000217,2024-10-01,C-00203,Home & Garden,LED Desk Lamp,1,21.56,21.56,South,Irene Okafor
ORD-000218,2025-11-22,C-00116,Electronics,Smart Watch,3,279.63,838.89,North,Carol Williams
ORD-000219,2024-11-18,C-00220,Home & Garden,Scented Candle Pack,1,14.46,14.46,North,Frank Davis
ORD-000220,2024-04-04,C-00253,Office Supplies,Printer Paper (Ream),2,9.75,19.5,South,James Wilson
ORD-000221,2025-08-12,C-00169,Office Supplies,Ergonomic Office Chair,1,330.63,330.63,South,James Wilson
ORD-000222,2024-04-14,C-00316,Books & Media,Board Game,1,45.78,45.78,South,James Wilson
ORD-000223,2025-11-11,C-00717,Electronics,Mechanical Keyboard,3,62.81,188.43,South,Irene Okafor
ORD-000224,2025-01-19,C-00372,Electronics,Wireless Headphones,1,75.42,75.42,East,Alice Chen
ORD-000225,2023-02-07,C-00760,Electronics,Wireless Headphones,7,80.89,566.23,West,Henry Foster
ORD-000226,2023-08-18,C-00583,Electronics,4K Monitor,4,444.07,1776.28,North,Carol Williams
ORD-000227,2024-07-16,C-00156,Clothing,Denim Jeans,6,36.36,218.16,West,Eva Thompson
ORD-000228,2024-03-13,C-00614,Clothing,Winter Jacket,1,141.76,141.76,South,Irene Okafor
ORD-000229,2023-01-27,C-00013,Electronics,Portable Power Bank,1,41.92,41.92,North,Frank Davis
ORD-000230,2023-08-14,C-00508,Office Supplies,Whiteboard,2,49.95,99.9,North,Frank Davis
ORD-000231,2025-03-08,C-00465,Sports & Outdoors,Camping Tent,3,98.08,294.24,South,Irene Okafor
ORD-000232,2023-10-11,C-00783,Books & Media,Educational DVD Set,1,38.63,38.63,East,Grace Liu
ORD-000233,2025-05-28,C-00220,Clothing,Wool Sweater,2,47.26,94.52,North,Carol Williams
ORD-000234,2025-08-17,C-00015,Home & Garden,LED Desk Lamp,3,37.19,111.57,West,Henry Foster
ORD-000235,2024-03-28,C-00750,Clothing,Cotton T-Shirt,1,27.45,27.45,West,Henry Foster
ORD-000236,2025-10-16,C-00117,Home & Garden,LED Desk Lamp,4,21.09,84.36,East,Grace Liu
ORD-000237,2025-03-26,C-00331,Sports & Outdoors,Resistance Bands,7,10.73,75.11,South,Irene Okafor
ORD-000238,2024-10-20,C-00056,Home & Garden,Yoga Mat,3,29.97,89.91,North,Carol Williams
ORD-000239,2024-06-30,C-00351,Office Supplies,Filing Cabinet,7,56.82,397.74,South,James Wilson
ORD-000240,2025-12-08,C-00132,Office Supplies,Whiteboard,1,41.94,41.94,West,Henry Foster
ORD-000241,2023-01-17,C-00226,Home & Garden,Yoga Mat,1,29.55,29.55,East,Grace Liu
ORD-000242,2023-06-07,C-00308,Clothing,Winter Jacket,1,135.8,135.8,West,Bob Martinez
ORD-000243,2024-04-21,C-00475,Office Supplies,Ballpoint Pen Pack,3,8.95,26.85,West,Eva Thompson
ORD-000244,2025-12-05,C-00222,Books & Media,Art Supply Kit,2,44.21,88.42,South,Irene Okafor
ORD-000245,2024-06-01,C-00173,Sports & Outdoors,Dumbbell Set,1,55.97,55.97,East,Alice Chen
ORD-000246,2023-04-09,C-00340,Books & Media,Board Game,2,35.45,70.9,South,Irene Okafor
ORD-000247,2025-11-26,C-00797,Electronics,Mechanical Keyboard,2,98.09,196.18,South,Irene Okafor
ORD-000248,2023-10-07,C-00506,Electronics,4K Monitor,7,281.39,1969.73,South,Irene Okafor
ORD-000249,2024-05-11,C-00157,Electronics,Mechanical Keyboard,1,89.5,89.5,West,Henry Foster
ORD-000250,2023-10-29,C-00151,Electronics,USB-C Charging Cable,1,19.74,19.74,South,James Wilson
ORD-000251,2023-06-30,C-00697,Home & Garden,Coffee Maker,2,90.86,181.72,West,Henry Foster
ORD-000252,2024-08-29,C-00178,Electronics,Bluetooth Speaker,1,73.45,73.45,East,Grace Liu
ORD-000253,2024-11-30,C-00533,Office Supplies,Filing Cabinet,2,105.31,210.62,East,Grace Liu
ORD-000254,2025-09-19,C-00112,Home & Garden,LED Desk Lamp,3,21.02,63.06,South,Irene Okafor
ORD-000255,2023-07-10,C-00683,Clothing,Running Shoes,7,99.01,693.07,East,Alice Chen
ORD-000256,2023-09-10,C-00138,Electronics,Wireless Mouse,5,33.12,165.6,West,Henry Foster
ORD-000257,2025-09-07,C-00233,Sports & Outdoors,Resistance Bands,4,21.98,87.92,East,Alice Chen
ORD-000258,2025-07-16,C-00332,Electronics,USB-C Charging Cable,2,11.28,22.56,West,Bob Martinez
ORD-000259,2023-05-08,C-00542,Books & Media,Art Supply Kit,5,29.6,148.0,East,David Kim
ORD-000260,2023-01-18,C-00307,Books & Media,Cookbook,3,30.64,91.92,South,James Wilson
